support,itemsets
0.988533132697988,sensitive=0
0.9638577718330268,verified=0
0.6344535473443683,engagement=low
0.43562949339575324,any_harmful=0
0.21037451931115198,sentiment=neutral
0.13942763194560553,period=pre_election
0.06655798918798417,topic=day / election day / day 2024 / election
0.5643705066042468,any_harmful=1
0.4944267959650003,label=Sensationalism
0.40437775176949226,label=Speculation
0.27130357242378644,sentiment=positive
0.20166638800646491,label=Conspiracy
0.07288357576770886,topic=election 2024 / 2024 / election / state
0.1617761801259544,sentiment=very_positive
0.08242768767764588,topic=general / general election / 2024 general / election
0.21377417377250182,topic=2024 election / 2024 / election / like
0.06760296494454662,label=Satire
0.22079641085660145,sentiment=negative
0.12910327147076855,topic=trump / donald / donald trump / president
0.05517471994649724,topic=harris / kamala / kamala harris / vice
0.07130914562782144,topic=presidential / presidential election / 2024 presidential / 2024
0.13574931728250572,sentiment=very_negative
0.026430920135986177,topic=lost / lost 2024 / trump lost / democrats
0.03614222816697319,verified=1
0.18525330212339075,topic=2020 / 2020 election / votes / election
0.05730647048988464,label=Hate_Speech
0.04094911664716045,topic=won / won 2024 / trump won / won election
0.2142200300953018,engagement=high
0.15132642256032994,engagement=medium
0.04179903026249791,topic=results / election results / results 2024 / election
0.07463913503873376,period=election_week
0.7859332330156606,period=post_election
0.9523909045310148,"sensitive=0, verified=0"
0.6257872150699437,"engagement=low, sensitive=0"
0.6227776848910439,"engagement=low, verified=0"
0.4705456166750265,"engagement=low, period=post_election"
0.6141113526166193,"engagement=low, sensitive=0, verified=0"
0.46477735049880176,"engagement=low, period=post_election, verified=0"
0.4637045087220643,"engagement=low, period=post_election, sensitive=0"
0.4579362425458396,"engagement=low, period=post_election, sensitive=0, verified=0"
0.43147745638967844,"any_harmful=0, sensitive=0"
0.40777740623084213,"any_harmful=0, verified=0"
0.2699102714150365,"any_harmful=0, engagement=low"
0.30968901521484704,"any_harmful=0, period=post_election"
0.4036253692247673,"any_harmful=0, sensitive=0, verified=0"
0.26685894220587414,"any_harmful=0, engagement=low, sensitive=0"
0.26065875271693695,"any_harmful=0, engagement=low, verified=0"
0.1738282338516413,"any_harmful=0, engagement=low, period=post_election"
0.2576074235077746,"any_harmful=0, engagement=low, sensitive=0, verified=0"
0.17172434932842892,"any_harmful=0, engagement=low, period=post_election, sensitive=0"
0.1697319288859165,"any_harmful=0, engagement=low, period=post_election, verified=0"
0.16762804436270412,"any_harmful=0, engagement=low, period=post_election, sensitive=0, verified=0"
0.3066098199855097,"any_harmful=0, period=post_election, sensitive=0"
0.29361032157387285,"any_harmful=0, period=post_election, verified=0"
0.2905311263445355,"any_harmful=0, period=post_election, sensitive=0, verified=0"
0.2080895056568021,"sensitive=0, sentiment=neutral"
0.20069107730033997,"sentiment=neutral, verified=0"
0.13634843671626817,"engagement=low, sentiment=neutral"
0.12981385498523101,"any_harmful=0, sentiment=neutral"
0.05054896059744747,"sentiment=neutral, topic=2024 election / 2024 / election / like"
0.08056066432592097,"any_harmful=1, sentiment=neutral"
0.06843894554979658,"label=Sensationalism, sentiment=neutral"
0.052694644150922364,"label=Speculation, sentiment=neutral"
0.04498968957253525,"engagement=high, sentiment=neutral"
0.15206487209496738,"period=post_election, sentiment=neutral"
0.1984060636459901,"sensitive=0, sentiment=neutral, verified=0"
0.13457894443515578,"engagement=low, sensitive=0, sentiment=neutral"
0.13279551914395585,"engagement=low, sentiment=neutral, verified=0"
0.09084322577049546,"engagement=low, period=post_election, sentiment=neutral"
0.13102602686284345,"engagement=low, sensitive=0, sentiment=neutral, verified=0"
0.08968678593323301,"engagement=low, period=post_election, sensitive=0, sentiment=neutral"
0.08944992476174553,"engagement=low, period=post_election, sentiment=neutral, verified=0"
0.08829348492448308,"engagement=low, period=post_election, sensitive=0, sentiment=neutral, verified=0"
0.12861561611770608,"any_harmful=0, sensitive=0, sentiment=neutral"
0.12150978097308142,"any_harmful=0, sentiment=neutral, verified=0"
0.08536755280610824,"any_harmful=0, engagement=low, sentiment=neutral"
0.08660759070389568,"any_harmful=0, period=post_election, sentiment=neutral"
0.12031154210555649,"any_harmful=0, sensitive=0, sentiment=neutral, verified=0"
0.08440617511007079,"any_harmful=0, engagement=low, sensitive=0, sentiment=neutral"
0.0821350944658084,"any_harmful=0, engagement=low, sentiment=neutral, verified=0"
0.05112021401103494,"any_harmful=0, engagement=low, period=post_election, sentiment=neutral"
0.08117371676977093,"any_harmful=0, engagement=low, sensitive=0, sentiment=neutral, verified=0"
0.05054896059744747,"any_harmful=0, engagement=low, period=post_election, sensitive=0, sentiment=neutral"
0.04988017611324751,"any_harmful=0, engagement=low, period=post_election, sentiment=neutral, verified=0"
0.049308922699660036,"any_harmful=0, engagement=low, period=post_election, sensitive=0, sentiment=neutral, verified=0"
